file_path,label,season_id,survey_id
./combined_dataset\20130718_210056.jpg,4,2,1
./combined_dataset\20130718_210056_001.jpg,4,2,1
./combined_dataset\20130718_210056_002.jpg,4,2,1
./combined_dataset\20130718_210110.jpg,4,2,1
./combined_dataset\20130718_210628.jpg,4,2,1
./combined_dataset\20130718_210628_001.jpg,4,2,1
./combined_dataset\20130718_210628_002.jpg,4,2,1
./combined_dataset\20130718_210653.jpg,4,2,1
./combined_dataset\20130718_210653_001.jpg,4,2,1
./combined_dataset\20130718_210653_002.jpg,4,2,1
./combined_dataset\20130718_211936.jpg,3,2,1
./combined_dataset\20130718_211936_001.jpg,3,2,1
./combined_dataset\20130718_211936_002.jpg,3,2,1
./combined_dataset\20130718_212029.jpg,3,2,1
./combined_dataset\20130718_212030.jpg,3,2,1
./combined_dataset\20130718_212030_001.jpg,3,2,1
./combined_dataset\20130718_212545.jpg,2,2,1
./combined_dataset\20130718_213458.jpg,2,2,1
./combined_dataset\20130718_214009.jpg,2,2,1
./combined_dataset\20130718_220918.jpg,5,2,1
./combined_dataset\20130718_231857.jpg,3,2,1
./combined_dataset\20130718_232839.jpg,3,2,1
./combined_dataset\20130718_232938.jpg,3,2,1
./combined_dataset\20130719_001005.jpg,2,2,1
./combined_dataset\20130719_001049.jpg,2,2,1
./combined_dataset\20130719_001919.jpg,2,2,1
./combined_dataset\20130719_002211.jpg,2,2,1
./combined_dataset\20130719_002240.jpg,2,2,1
./combined_dataset\20130719_002321.jpg,5,2,1
./combined_dataset\20130719_002410.jpg,2,2,1
./combined_dataset\20130719_013305.jpg,1,2,1
./combined_dataset\20130719_013538.jpg,1,2,1
./combined_dataset\20130719_022637.jpg,4,2,1
./combined_dataset\20130719_195311.jpg,5,2,1
./combined_dataset\20130719_195311_001.jpg,5,2,1
./combined_dataset\20130719_195311_002.jpg,5,2,1
./combined_dataset\20130719_195846.jpg,4,2,1
./combined_dataset\20130719_195846_001.jpg,5,2,1
./combined_dataset\20130719_195846_002.jpg,5,2,1
./combined_dataset\20130719_200033.jpg,4,2,1
./combined_dataset\20130719_200033_001.jpg,4,2,1
./combined_dataset\20130719_200033_002.jpg,4,2,1
./combined_dataset\20130719_201053.jpg,2,2,1
./combined_dataset\20130719_201053_001.jpg,2,2,1
./combined_dataset\20130719_201053_002.jpg,2,2,1
./combined_dataset\20130719_201116.jpg,2,2,1
./combined_dataset\20130719_201116_001.jpg,4,2,1
./combined_dataset\20130719_201116_002.jpg,4,2,1
./combined_dataset\20130719_201147.jpg,4,2,1
./combined_dataset\20130719_201147_001.jpg,4,2,1
./combined_dataset\20130719_201147_002.jpg,4,2,1
./combined_dataset\20130719_201248.jpg,2,2,1
./combined_dataset\20130719_201248_001.jpg,2,2,1
./combined_dataset\20130719_201340.jpg,2,2,1
./combined_dataset\20130719_201340_001.jpg,2,2,1
./combined_dataset\20130719_201340_002.jpg,2,2,1
./combined_dataset\20130719_201437.jpg,2,2,1
./combined_dataset\20130719_201437_001.jpg,2,2,1
./combined_dataset\20130719_201437_002.jpg,2,2,1
./combined_dataset\20130719_201459.jpg,2,2,1
./combined_dataset\20130719_201459_001.jpg,2,2,1
./combined_dataset\20130719_201459_002.jpg,2,2,1
./combined_dataset\20130719_201645.jpg,2,2,1
./combined_dataset\20130719_201645_001.jpg,2,2,1
./combined_dataset\20130719_201645_002.jpg,2,2,1
./combined_dataset\20130719_201755.jpg,2,2,1
./combined_dataset\20130719_201755_001.jpg,2,2,1
./combined_dataset\20130719_201755_002.jpg,2,2,1
./combined_dataset\20130719_203118.jpg,3,2,1
./combined_dataset\20130719_203118_001.jpg,3,2,1
./combined_dataset\20130719_203118_002.jpg,2,2,1
./combined_dataset\20130719_203134.jpg,3,2,1
./combined_dataset\20130719_203134_001.jpg,2,2,1
./combined_dataset\20130719_203134_002.jpg,2,2,1
./combined_dataset\20130719_203153.jpg,2,2,1
./combined_dataset\20130719_203153_001.jpg,2,2,1
